Timestamp,Air purifier or N95 Mask,Shop Name,Address,Price,Quantity
6/21/13 12:13,N95 Mask,Tan Tock Seng Hospital ,Near Novena MRT,$3 ,
6/21/13 12:19,N95 Mask,NUS Lab Supplies Store,NUS MD11 #B1-03 ,$21.15 ,20
6/21/13 12:35,N95 Mask,CGH,CGH,$2.50 ,
6/21/13 12:35,N95 Mask,yong fah international pte ltd,no.60 kakit bukit place #04-15 Eunos Techpark tel 67449058,$50 ,20
6/21/13 12:42,Air purifier,Home Fix,all around singapore,,
6/21/13 12:47,N95 Mask,my house,39 teban gardens,,
6/21/13 12:54,N95 Mask,Watson,Choa chu kang,,
6/21/13 13:13,N95 Mask,Mustafa,Mustafe,$48 ,20
6/21/13 13:16,N95 Mask,Watsons,Compass Point,,
6/21/13 13:33,N95 Mask,SGH pharmacy,SGH ,2.5,
6/21/13 13:54,N95 Mask,Fabrico,39 Jalan Peminpin,2,
6/21/13 13:54,N95 Mask,guardian,woodlands,,
6/21/13 13:57,N95 Mask,Watson,Serangoon North,,
6/21/13 14:07,N95 Mask,watson,far east plaxe,,
6/21/13 14:07,N95 Mask,Fabrico,39 Jalan Peminpin,,
6/21/13 14:07,N95 Mask,MD11,NUS,,
6/21/13 14:21,N95 Mask,watsons,toa payoh,,
6/21/13 14:25,N95 Mask,Quantum Safety,Block 1004 Toa Payoh Industrial Park #05-1481. Singapore 319076,,
6/21/13 14:27,N95 Mask,PSE Safety,48 Mactaggart Rd #11-02 MAE Ind Bldg S(368088),,
6/21/13 14:30,N95 Mask,Pava Dried Fruits ,Ubi Ave 1 Food court,,
6/21/13 14:33,N95 Mask,MasterPro,"48 Toh Guan Road East,  #01-98 Enterprise Hub,  Singapore 608586 ",$4.28 ,
6/21/13 14:36,N95 Mask,QSN Safety," Blk 1004 Toa Payoh Industrial Park, #05-1479 Singapore 319076",,
6/21/13 14:38,N95 Mask,Fischer Bell Private Ltd,194 Pandan Loop #02-30 Pantech Business Hub Singapore 128383,,
6/21/13 14:39,N95 Mask,AMK Global Distribution Pte Ltd ,4008 Ang Mo Kio Ave 10 #03-20 Techplace I S(569625),,
6/21/13 14:42,N95 Mask,Freshening Holdings Pte Ltd,"4, Loyang Link, Singapore 508895",,
6/21/13 15:06,Air purifier,3M 8110s,Mass technologies,$35 ,20
6/21/13 15:09,N95 Mask,VERTIS P/L,LENTOR,$3.50 ,
6/21/13 15:13,N95 Mask,Chem Industry,Blk 9004 tampines st 93 #03-124/120,$37.60 ,20
6/21/13 15:14,N95 Mask,Qbiz hardware Pte Ltd,50 Tuas Ave 11 #02-05 Tuas Lot Singapore 693107,$35 ,20
6/21/13 15:15,N95 Mask,BIS International Pte Ltd,"55 Toh Guan Road East, #02-02, Uni-Tech Centre",,
6/21/13 15:27,Air purifier,best denki,hougang mall,,
6/21/13 15:28,N95 Mask,*,*,,
6/21/13 15:35,N95 Mask,NUH Pharmacy,NUH,2.5,
6/21/13 15:53,N95 Mask,QMT,36 Toh Guan Road,45,20
6/21/13 15:54,N95 Mask,guardian,amara,,
6/21/13 15:55,N95 Mask,MDIS 7 ELEVEN,Queenstown Sterling rd,$6 ,
6/21/13 15:56,N95 Mask,gardian,funan,,
6/21/13 15:57,N95 Mask,Masterpro Industrial,48 Toh Guan Road East,$4 ,
6/21/13 15:58,Air purifier and Mask,wastons / guardian,sengkang / raffles place,,
6/21/13 15:58,N95 Mask,guardian,sembawang,,
6/21/13 15:59,Air purifier and Mask,Guardian,Ang mo kio,,
6/21/13 15:59,N95 Mask,guardian,hougang,,
6/21/13 16:00,N95 Mask,guardian,admiralty,,
